n_iters,step_size,init,gl_iters,seed,eps,run_name,n_rows,overall_mean,overall_median,overall_std,environment_n,environment_mean,environment_median,environment_std,environment_metamer_empty_rate,music_n,music_mean,music_median,music_std,music_metamer_empty_rate,speech_n,speech_mean,speech_median,speech_std,speech_metamer_empty_rate,env_minus_speech_mean
500,0.003,noise,32,0,1000.0,iter500_step0p003_initnoise_gl32_seed0_eps1000p0,126,0.2143841507936508,0.2202575,0.1271980932888482,54,0.14128562962962962,0.068981,0.14247081414572008,0.6666666666666666,42,0.24858969047619048,0.222164,0.0833806321140439,0.35714285714285715,30,0.2980737333333333,0.295593,0.05851212031703821,0.0,-0.1567881037037037
500,0.003,noise,32,1,1000.0,iter500_step0p003_initnoise_gl32_seed1_eps1000p0,126,0.21220585714285714,0.217839,0.12531836070677577,54,0.14368403703703703,0.067136,0.14696032277731783,0.7037037037037037,42,0.2413897380952381,0.217839,0.07036966194186496,0.40476190476190477,30,0.2946877,0.2910375,0.060866979244442,0.06666666666666667,-0.15100366296296297
500,0.003,noise,32,2,1000.0,iter500_step0p003_initnoise_gl32_seed2_eps1000p0,126,0.21168633333333334,0.208225,0.12345140478290645,54,0.1408677222222222,0.066603,0.14190795640046464,0.6851851851851852,42,0.24415811904761905,0.2118695,0.07499363161000577,0.38095238095238093,30,0.2936993333333333,0.29729300000000003,0.051550072518754896,0.03333333333333333,-0.1528316111111111
500,0.003,noise,64,0,1000.0,iter500_step0p003_initnoise_gl64_seed0_eps1000p0,126,0.2143841507936508,0.2202575,0.1271980932888482,54,0.14128562962962962,0.068981,0.14247081414572008,0.6481481481481481,42,0.24858969047619048,0.222164,0.0833806321140439,0.38095238095238093,30,0.2980737333333333,0.295593,0.05851212031703821,0.0,-0.1567881037037037
500,0.003,noise,64,1,1000.0,iter500_step0p003_initnoise_gl64_seed1_eps1000p0,126,0.21220585714285714,0.217839,0.12531836070677577,54,0.14368403703703703,0.067136,0.14696032277731783,0.6851851851851852,42,0.2413897380952381,0.217839,0.07036966194186496,0.42857142857142855,30,0.2946877,0.2910375,0.060866979244442,0.06666666666666667,-0.15100366296296297
500,0.003,noise,64,2,1000.0,iter500_step0p003_initnoise_gl64_seed2_eps1000p0,126,0.21168633333333334,0.208225,0.12345140478290645,54,0.1408677222222222,0.066603,0.14190795640046464,0.7222222222222222,42,0.24415811904761905,0.2118695,0.07499363161000577,0.42857142857142855,30,0.2936993333333333,0.29729300000000003,0.051550072518754896,0.06666666666666667,-0.1528316111111111
500,0.01,noise,32,0,1000.0,iter500_step0p01_initnoise_gl32_seed0_eps1000p0,126,0.12390637301587301,0.12980950000000002,0.06249808636368608,54,0.08818009259259259,0.054162,0.07397941035837545,0.6481481481481481,42,0.14513135714285713,0.138422,0.029352524321412558,0.42857142857142855,30,0.1584987,0.1658715,0.03497057184371835,0.1,-0.0703186074074074
500,0.01,noise,32,1,1000.0,iter500_step0p01_initnoise_gl32_seed1_eps1000p0,126,0.12418619841269841,0.1297285,0.06267927722446445,54,0.08850314814814815,0.053219,0.07362831765483818,0.6111111111111112,42,0.14485371428571428,0.139242,0.029869015548275594,0.4523809523809524,30,0.15948116666666667,0.16888799999999998,0.036848447711387906,0.1,-0.07097801851851852
500,0.01,noise,32,2,1000.0,iter500_step0p01_initnoise_gl32_seed2_eps1000p0,126,0.12330568253968253,0.131219,0.062342857661668256,54,0.08709709259259259,0.052350999999999995,0.0728385389279473,0.6111111111111112,42,0.14480733333333334,0.13686199999999998,0.031956565657203756,0.38095238095238093,30,0.15837883333333333,0.168159,0.03327222931122724,0.06666666666666667,-0.07128174074074074
500,0.01,noise,64,0,1000.0,iter500_step0p01_initnoise_gl64_seed0_eps1000p0,126,0.12390637301587301,0.12980950000000002,0.06249808636368608,54,0.08818009259259259,0.054162,0.07397941035837545,0.6481481481481481,42,0.14513135714285713,0.138422,0.029352524321412558,0.35714285714285715,30,0.1584987,0.1658715,0.03497057184371835,0.1,-0.0703186074074074
500,0.01,noise,64,1,1000.0,iter500_step0p01_initnoise_gl64_seed1_eps1000p0,126,0.12418619841269841,0.1297285,0.06267927722446445,54,0.08850314814814815,0.053219,0.07362831765483818,0.6481481481481481,42,0.14485371428571428,0.139242,0.029869015548275594,0.5,30,0.15948116666666667,0.16888799999999998,0.036848447711387906,0.13333333333333333,-0.07097801851851852
500,0.01,noise,64,2,1000.0,iter500_step0p01_initnoise_gl64_seed2_eps1000p0,126,0.12330568253968253,0.131219,0.062342857661668256,54,0.08709709259259259,0.052350999999999995,0.0728385389279473,0.6296296296296297,42,0.14480733333333334,0.13686199999999998,0.031956565657203756,0.38095238095238093,30,0.15837883333333333,0.168159,0.03327222931122724,0.06666666666666667,-0.07128174074074074
1500,0.003,noise,32,0,1000.0,iter1500_step0p003_initnoise_gl32_seed0_eps1000p0,126,0.10669766666666666,0.10863400000000001,0.06115486979493064,54,0.0743597037037037,0.039367,0.07014681238781609,0.6296296296296297,42,0.12666021428571428,0.11594399999999999,0.041754049815862296,0.42857142857142855,30,0.13695843333333332,0.13652350000000002,0.03246385676685518,0.1,-0.06259872962962962
1500,0.003,noise,32,1,1000.0,iter1500_step0p003_initnoise_gl32_seed1_eps1000p0,126,0.10432285714285715,0.104049,0.059882648677081464,54,0.07526818518518519,0.037731,0.07245387988871728,0.5740740740740741,42,0.1212927619047619,0.1128025,0.034133376048482524,0.4523809523809524,30,0.1328634,0.1369285,0.03526087824544363,0.03333333333333333,-0.057595214814814805
1500,0.003,noise,32,2,1000.0,iter1500_step0p003_initnoise_gl32_seed2_eps1000p0,126,0.10505392857142858,0.107623,0.05905247857816856,54,0.07336464814814815,0.037987999999999994,0.06913233298594736,0.6851851851851852,42,0.1245209761904762,0.11749699999999999,0.03497166073680101,0.47619047619047616,30,0.13484076666666667,0.143095,0.033255166599776474,0.1,-0.061476118518518516
1500,0.003,noise,64,0,1000.0,iter1500_step0p003_initnoise_gl64_seed0_eps1000p0,126,0.10669766666666666,0.10863400000000001,0.06115486979493064,54,0.0743597037037037,0.039367,0.07014681238781609,0.6666666666666666,42,0.12666021428571428,0.11594399999999999,0.041754049815862296,0.40476190476190477,30,0.13695843333333332,0.13652350000000002,0.03246385676685518,0.13333333333333333,-0.06259872962962962
1500,0.003,noise,64,1,1000.0,iter1500_step0p003_initnoise_gl64_seed1_eps1000p0,126,0.10432285714285715,0.104049,0.059882648677081464,54,0.07526818518518519,0.037731,0.07245387988871728,0.5740740740740741,42,0.1212927619047619,0.1128025,0.034133376048482524,0.5,30,0.1328634,0.1369285,0.03526087824544363,0.03333333333333333,-0.057595214814814805
1500,0.003,noise,64,2,1000.0,iter1500_step0p003_initnoise_gl64_seed2_eps1000p0,126,0.10505392857142858,0.107623,0.05905247857816856,54,0.07336464814814815,0.037987999999999994,0.06913233298594736,0.6666666666666666,42,0.1245209761904762,0.11749699999999999,0.03497166073680101,0.47619047619047616,30,0.13484076666666667,0.143095,0.033255166599776474,0.1,-0.061476118518518516
1500,0.01,noise,32,0,1000.0,iter1500_step0p01_initnoise_gl32_seed0_eps1000p0,126,0.07508340476190477,0.0757505,0.03684520285313339,54,0.05657746296296296,0.03726,0.04411399352045451,0.5555555555555556,42,0.08894764285714285,0.085843,0.020733273645016013,0.38095238095238093,30,0.08898416666666667,0.0832995,0.02276648254647364,0.1,-0.03240670370370371
1500,0.01,noise,32,1,1000.0,iter1500_step0p01_initnoise_gl32_seed1_eps1000p0,126,0.07470534126984127,0.0752355,0.0366976627516134,54,0.05629044444444444,0.0382595,0.04404501126106854,0.5370370370370371,42,0.08826833333333334,0.0872155,0.020433480164935038,0.40476190476190477,30,0.08886396666666667,0.0808325,0.022612996608857974,0.0,-0.03257352222222223
1500,0.01,noise,32,2,1000.0,iter1500_step0p01_initnoise_gl32_seed2_eps1000p0,126,0.07437669841269841,0.073766,0.03686055870100608,54,0.054755962962962965,0.034806500000000004,0.04236262023073458,0.6111111111111112,42,0.08906959523809524,0.08977850000000001,0.022119077922591882,0.38095238095238093,30,0.08912396666666667,0.081026,0.024055267570719078,0.03333333333333333,-0.0343680037037037
1500,0.01,noise,64,0,1000.0,iter1500_step0p01_initnoise_gl64_seed0_eps1000p0,126,0.07508340476190477,0.0757505,0.03684520285313339,54,0.05657746296296296,0.03726,0.04411399352045451,0.5555555555555556,42,0.08894764285714285,0.085843,0.020733273645016013,0.2619047619047619,30,0.08898416666666667,0.0832995,0.02276648254647364,0.06666666666666667,-0.03240670370370371
1500,0.01,noise,64,1,1000.0,iter1500_step0p01_initnoise_gl64_seed1_eps1000p0,126,0.07470534126984127,0.0752355,0.0366976627516134,54,0.05629044444444444,0.0382595,0.04404501126106854,0.6296296296296297,42,0.08826833333333334,0.0872155,0.020433480164935038,0.42857142857142855,30,0.08886396666666667,0.0808325,0.022612996608857974,0.0,-0.03257352222222223
1500,0.01,noise,64,2,1000.0,iter1500_step0p01_initnoise_gl64_seed2_eps1000p0,126,0.07437669841269841,0.073766,0.03686055870100608,54,0.054755962962962965,0.034806500000000004,0.04236262023073458,0.6111111111111112,42,0.08906959523809524,0.08977850000000001,0.022119077922591882,0.40476190476190477,30,0.08912396666666667,0.081026,0.024055267570719078,0.1,-0.0343680037037037
