stim_folder,wav_file,pred_original,pred_metamer,match_distance,metamer_wav
3_stim211_keys_jingling_orig_splits,3_stim211_keys_jingling_orig_04_07.wav,,,0.046271,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/3_stim211_keys_jingling_orig_splits/3_stim211_keys_jingling_orig_04_07/metamer_audio.wav
3_stim211_keys_jingling_orig_splits,3_stim211_keys_jingling_orig_07_10.wav,O,,0.041891,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/3_stim211_keys_jingling_orig_splits/3_stim211_keys_jingling_orig_07_10/metamer_audio.wav
4_stim224_walking_on_leaves_orig_splits,4_stim224_walking_on_leaves_orig_01_04.wav,,,0.029932,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/4_stim224_walking_on_leaves_orig_splits/4_stim224_walking_on_leaves_orig_01_04/metamer_audio.wav
4_stim224_walking_on_leaves_orig_splits,4_stim224_walking_on_leaves_orig_04_07.wav,,,0.017815,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/4_stim224_walking_on_leaves_orig_splits/4_stim224_walking_on_leaves_orig_04_07/metamer_audio.wav
4_stim224_walking_on_leaves_orig_splits,4_stim224_walking_on_leaves_orig_07_10.wav,O,,0.024831,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/4_stim224_walking_on_leaves_orig_splits/4_stim224_walking_on_leaves_orig_07_10/metamer_audio.wav
5_stim232_man_speaking_orig_splits,5_stim232_man_speaking_orig_01_04.wav,AN NEVER REALLY KNOW FOR TODAY,N THERE WIL WEIAL WE KNOW FOR FR TODAY,0.155025,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/5_stim232_man_speaking_orig_splits/5_stim232_man_speaking_orig_01_04/metamer_audio.wav
5_stim232_man_speaking_orig_splits,5_stim232_man_speaking_orig_04_07.wav,GOING TO TEACH YOU A FEW HOOLE THINGS ABOUT HIM,GOING TO SEE YOU TTH,0.147023,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/5_stim232_man_speaking_orig_splits/5_stim232_man_speaking_orig_04_07/metamer_audio.wav
5_stim232_man_speaking_orig_splits,5_stim232_man_speaking_orig_07_10.wav,YOU CAN GET MORE OUT HIS BOOKS I AN FEEL SMARL,YOU CAN HO MOTI WHAI AM FEEL SMOROW,0.152516,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/5_stim232_man_speaking_orig_splits/5_stim232_man_speaking_orig_07_10/metamer_audio.wav
6_stim254_orchestra_music_orig_splits,6_stim254_orchestra_music_orig_01_04.wav,TO  O O O,I E TI I,0.127782,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/6_stim254_orchestra_music_orig_splits/6_stim254_orchestra_music_orig_01_04/metamer_audio.wav
6_stim254_orchestra_music_orig_splits,6_stim254_orchestra_music_orig_04_07.wav,OU OOW, I I ,0.130399,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/6_stim254_orchestra_music_orig_splits/6_stim254_orchestra_music_orig_04_07/metamer_audio.wav
6_stim254_orchestra_music_orig_splits,6_stim254_orchestra_music_orig_07_10.wav,O,,0.131642,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/6_stim254_orchestra_music_orig_splits/6_stim254_orchestra_music_orig_07_10/metamer_audio.wav
7_stim268_piano_orig_splits,7_stim268_piano_orig_01_04.wav,HOU O O THOW,I I ,0.167425,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/7_stim268_piano_orig_splits/7_stim268_piano_orig_01_04/metamer_audio.wav
7_stim268_piano_orig_splits,7_stim268_piano_orig_04_07.wav, THER,,0.147127,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/7_stim268_piano_orig_splits/7_stim268_piano_orig_04_07/metamer_audio.wav
7_stim268_piano_orig_splits,7_stim268_piano_orig_07_10.wav,THOHO HO,I  I,0.172435,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/7_stim268_piano_orig_splits/7_stim268_piano_orig_07_10/metamer_audio.wav
8_stim283_contemporary_rb_orig_splits,8_stim283_contemporary_rb_orig_01_04.wav,WHER YOU WEAR IT,,0.186849,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/8_stim283_contemporary_rb_orig_splits/8_stim283_contemporary_rb_orig_01_04/metamer_audio.wav
8_stim283_contemporary_rb_orig_splits,8_stim283_contemporary_rb_orig_04_07.wav,DONTO WA TAR FOR ME,  O ,0.213392,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/8_stim283_contemporary_rb_orig_splits/8_stim283_contemporary_rb_orig_04_07/metamer_audio.wav
8_stim283_contemporary_rb_orig_splits,8_stim283_contemporary_rb_orig_07_10.wav,HE SOR YOU JUST WORT,IS HU O,0.184133,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/8_stim283_contemporary_rb_orig_splits/8_stim283_contemporary_rb_orig_07_10/metamer_audio.wav
9_stim28_big_band_music_orig_splits,9_stim28_big_band_music_orig_01_04.wav,, THIN THI,0.106559,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/9_stim28_big_band_music_orig_splits/9_stim28_big_band_music_orig_01_04/metamer_audio.wav
9_stim28_big_band_music_orig_splits,9_stim28_big_band_music_orig_04_07.wav,OO, ,0.123112,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/9_stim28_big_band_music_orig_splits/9_stim28_big_band_music_orig_04_07/metamer_audio.wav
9_stim28_big_band_music_orig_splits,9_stim28_big_band_music_orig_07_10.wav,O,,0.076778,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/9_stim28_big_band_music_orig_splits/9_stim28_big_band_music_orig_07_10/metamer_audio.wav
10_stim29_biting_and_chewing_orig_splits,10_stim29_biting_and_chewing_orig_01_04.wav,,I,0.044651,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/10_stim29_biting_and_chewing_orig_splits/10_stim29_biting_and_chewing_orig_01_04/metamer_audio.wav
10_stim29_biting_and_chewing_orig_splits,10_stim29_biting_and_chewing_orig_04_07.wav,,I I  I,0.033391,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/10_stim29_biting_and_chewing_orig_splits/10_stim29_biting_and_chewing_orig_04_07/metamer_audio.wav
10_stim29_biting_and_chewing_orig_splits,10_stim29_biting_and_chewing_orig_07_10.wav,OU,I I,0.045890,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/10_stim29_biting_and_chewing_orig_splits/10_stim29_biting_and_chewing_orig_07_10/metamer_audio.wav
11_stim315_saxophone_jazz_solo_orig_splits,11_stim315_saxophone_jazz_solo_orig_01_04.wav, THE,,0.126278,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/11_stim315_saxophone_jazz_solo_orig_splits/11_stim315_saxophone_jazz_solo_orig_01_04/metamer_audio.wav
11_stim315_saxophone_jazz_solo_orig_splits,11_stim315_saxophone_jazz_solo_orig_04_07.wav, IR KO , II I,0.125659,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/11_stim315_saxophone_jazz_solo_orig_splits/11_stim315_saxophone_jazz_solo_orig_04_07/metamer_audio.wav
11_stim315_saxophone_jazz_solo_orig_splits,11_stim315_saxophone_jazz_solo_orig_07_10.wav,,I  I,0.103206,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/11_stim315_saxophone_jazz_solo_orig_splits/11_stim315_saxophone_jazz_solo_orig_07_10/metamer_audio.wav
12_stim320_scratching_orig_splits,12_stim320_scratching_orig_01_04.wav,,,0.033589,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/12_stim320_scratching_orig_splits/12_stim320_scratching_orig_01_04/metamer_audio.wav
12_stim320_scratching_orig_splits,12_stim320_scratching_orig_04_07.wav,TI I I ,,0.062284,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/12_stim320_scratching_orig_splits/12_stim320_scratching_orig_04_07/metamer_audio.wav
12_stim320_scratching_orig_splits,12_stim320_scratching_orig_07_10.wav,,,0.061683,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/12_stim320_scratching_orig_splits/12_stim320_scratching_orig_07_10/metamer_audio.wav
13_stim337_siren_orig_splits,13_stim337_siren_orig_01_04.wav,AOO THE,,0.294071,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/13_stim337_siren_orig_splits/13_stim337_siren_orig_01_04/metamer_audio.wav
13_stim337_siren_orig_splits,13_stim337_siren_orig_04_07.wav,OO,,0.310300,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/13_stim337_siren_orig_splits/13_stim337_siren_orig_04_07/metamer_audio.wav
13_stim337_siren_orig_splits,13_stim337_siren_orig_07_10.wav,OOOOOOO,,0.285783,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/13_stim337_siren_orig_splits/13_stim337_siren_orig_07_10/metamer_audio.wav
14_stim33_bluegrass_orig_splits,14_stim33_bluegrass_orig_01_04.wav, TE E, I I I ,0.142328,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/14_stim33_bluegrass_orig_splits/14_stim33_bluegrass_orig_01_04/metamer_audio.wav
14_stim33_bluegrass_orig_splits,14_stim33_bluegrass_orig_04_07.wav, THE  ,,0.141211,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/14_stim33_bluegrass_orig_splits/14_stim33_bluegrass_orig_04_07/metamer_audio.wav
14_stim33_bluegrass_orig_splits,14_stim33_bluegrass_orig_07_10.wav,E ,I ,0.119103,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/14_stim33_bluegrass_orig_splits/14_stim33_bluegrass_orig_07_10/metamer_audio.wav
15_stim387_typing_orig_splits,15_stim387_typing_orig_01_04.wav,OO, WAN AO LOIM EI W,0.047073,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/15_stim387_typing_orig_splits/15_stim387_typing_orig_01_04/metamer_audio.wav
15_stim387_typing_orig_splits,15_stim387_typing_orig_04_07.wav,OU O , I O ,0.061622,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/15_stim387_typing_orig_splits/15_stim387_typing_orig_04_07/metamer_audio.wav
15_stim387_typing_orig_splits,15_stim387_typing_orig_07_10.wav,OU, W O TO  O W,0.054655,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/15_stim387_typing_orig_splits/15_stim387_typing_orig_07_10/metamer_audio.wav
16_stim394_violin_orig_splits,16_stim394_violin_orig_01_04.wav,,,0.129987,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/16_stim394_violin_orig_splits/16_stim394_violin_orig_01_04/metamer_audio.wav
16_stim394_violin_orig_splits,16_stim394_violin_orig_04_07.wav,WHO WHEH WHO,I TE ,0.160404,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/16_stim394_violin_orig_splits/16_stim394_violin_orig_04_07/metamer_audio.wav
16_stim394_violin_orig_splits,16_stim394_violin_orig_07_10.wav,HOE,,0.108864,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/16_stim394_violin_orig_splits/16_stim394_violin_orig_07_10/metamer_audio.wav
17_stim401_walking_with_heels_orig_splits,17_stim401_walking_with_heels_orig_01_04.wav,, WHAT  WHAT,0.039628,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/17_stim401_walking_with_heels_orig_splits/17_stim401_walking_with_heels_orig_01_04/metamer_audio.wav
17_stim401_walking_with_heels_orig_splits,17_stim401_walking_with_heels_orig_04_07.wav,,,0.022462,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/17_stim401_walking_with_heels_orig_splits/17_stim401_walking_with_heels_orig_04_07/metamer_audio.wav
17_stim401_walking_with_heels_orig_splits,17_stim401_walking_with_heels_orig_07_10.wav,,OO,0.027459,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/17_stim401_walking_with_heels_orig_splits/17_stim401_walking_with_heels_orig_07_10/metamer_audio.wav
18_stim414_woman_speaking_orig_splits,18_stim414_woman_speaking_orig_01_04.wav,TA TIME WALKE TO THE PAST AS WHELL WAS INSIDE,TIME THE PAST WAS INSIDE,0.128804,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/18_stim414_woman_speaking_orig_splits/18_stim414_woman_speaking_orig_01_04/metamer_audio.wav
18_stim414_woman_speaking_orig_splits,18_stim414_woman_speaking_orig_04_07.wav,INTO THE PRESENT WAS ING ITS DESTRUCTION TO BECOME,ITHER WAS IN INST DESTRUCTION TO BECOME,0.091383,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/18_stim414_woman_speaking_orig_splits/18_stim414_woman_speaking_orig_04_07/metamer_audio.wav
18_stim414_woman_speaking_orig_splits,18_stim414_woman_speaking_orig_07_10.wav,FRIME MOR HANGLESS THE A MURDER OF BIHUMANTS,MI TEN THE MOO WITH YUMANS,0.201548,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/18_stim414_woman_speaking_orig_splits/18_stim414_woman_speaking_orig_07_10/metamer_audio.wav
19_stim418_writing_on_paper_orig_splits,19_stim418_writing_on_paper_orig_01_04.wav,THOU O,,0.052091,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/19_stim418_writing_on_paper_orig_splits/19_stim418_writing_on_paper_orig_01_04/metamer_audio.wav
19_stim418_writing_on_paper_orig_splits,19_stim418_writing_on_paper_orig_04_07.wav,,,0.051481,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/19_stim418_writing_on_paper_orig_splits/19_stim418_writing_on_paper_orig_04_07/metamer_audio.wav
19_stim418_writing_on_paper_orig_splits,19_stim418_writing_on_paper_orig_07_10.wav, THI,,0.058466,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/19_stim418_writing_on_paper_orig_splits/19_stim418_writing_on_paper_orig_07_10/metamer_audio.wav
20_stim41_breathing_orig_splits,20_stim41_breathing_orig_01_04.wav,, TI,0.070642,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/20_stim41_breathing_orig_splits/20_stim41_breathing_orig_01_04/metamer_audio.wav
20_stim41_breathing_orig_splits,20_stim41_breathing_orig_04_07.wav,,,0.083974,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/20_stim41_breathing_orig_splits/20_stim41_breathing_orig_04_07/metamer_audio.wav
20_stim41_breathing_orig_splits,20_stim41_breathing_orig_07_10.wav,,,0.073372,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/20_stim41_breathing_orig_splits/20_stim41_breathing_orig_07_10/metamer_audio.wav
21_stim461_latin_music_orig_splits,21_stim461_latin_music_orig_01_04.wav, HE H,,0.153225,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/21_stim461_latin_music_orig_splits/21_stim461_latin_music_orig_01_04/metamer_audio.wav
21_stim461_latin_music_orig_splits,21_stim461_latin_music_orig_04_07.wav, ,I I,0.180258,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/21_stim461_latin_music_orig_splits/21_stim461_latin_music_orig_04_07/metamer_audio.wav
21_stim461_latin_music_orig_splits,21_stim461_latin_music_orig_07_10.wav,O,,0.169286,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/21_stim461_latin_music_orig_splits/21_stim461_latin_music_orig_07_10/metamer_audio.wav
22_stim501_spanish_orig_splits,22_stim501_spanish_orig_01_04.wav,FARST WAT HE'S HE PINGE SO BEFORL,WA WHAT IS YOU,0.110208,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/22_stim501_spanish_orig_splits/22_stim501_spanish_orig_01_04/metamer_audio.wav
22_stim501_spanish_orig_splits,22_stim501_spanish_orig_04_07.wav,TISWEET PEOPOLE WIVE COM IN EGUSSING REGULAL OFFIC,WEE ALL WITH SOMEOND  O AOES,0.145082,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/22_stim501_spanish_orig_splits/22_stim501_spanish_orig_04_07/metamer_audio.wav
22_stim501_spanish_orig_splits,22_stim501_spanish_orig_07_10.wav,MAGNET EANDSEPLE THAN E DID BEPORE MARRIES,M MYOU DO BEFORE ,0.180769,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/22_stim501_spanish_orig_splits/22_stim501_spanish_orig_07_10/metamer_audio.wav
23_stim502_french_orig_splits,23_stim502_french_orig_01_04.wav,WAS ON CES YOUOWIS,E EYOU ILL ALL GO WITH ,0.157058,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/23_stim502_french_orig_splits/23_stim502_french_orig_01_04/metamer_audio.wav
23_stim502_french_orig_splits,23_stim502_french_orig_04_07.wav,YOUR CORNEY SEOFF YOU TO SE SUCCESSS,THE COUI TE CONVENIENT OSISTEN,0.105352,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/23_stim502_french_orig_splits/23_stim502_french_orig_04_07/metamer_audio.wav
23_stim502_french_orig_splits,23_stim502_french_orig_07_10.wav, BARIED WHA PSYCHE WIL, I WAS WOR GI WARE,0.103893,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/23_stim502_french_orig_splits/23_stim502_french_orig_07_10/metamer_audio.wav
24_stim503_italian_orig_splits,24_stim503_italian_orig_01_04.wav,YOU GET ASINON GABLEDIN RE,U YE WA E RE ,0.088282,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/24_stim503_italian_orig_splits/24_stim503_italian_orig_01_04/metamer_audio.wav
24_stim503_italian_orig_splits,24_stim503_italian_orig_04_07.wav,IN NOU TRAIL LIGRETESINS IITS, TELL E  T ,0.185985,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/24_stim503_italian_orig_splits/24_stim503_italian_orig_04_07/metamer_audio.wav
24_stim503_italian_orig_splits,24_stim503_italian_orig_07_10.wav,IS PU I TOHT IKE IT S ESE YOU A, SEE E,0.164490,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/24_stim503_italian_orig_splits/24_stim503_italian_orig_07_10/metamer_audio.wav
25_stim504_german_orig_splits,25_stim504_german_orig_01_04.wav,NOUH BUIG A PATH IN TORTN MACHINE THAT'S CONET SINGER, I E  I S,0.172782,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/25_stim504_german_orig_splits/25_stim504_german_orig_01_04/metamer_audio.wav
25_stim504_german_orig_splits,25_stim504_german_orig_04_07.wav,I NEED IS FI AM FON PU MAN,WE  AM OR WIL FN,0.233706,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/25_stim504_german_orig_splits/25_stim504_german_orig_04_07/metamer_audio.wav
25_stim504_german_orig_splits,25_stim504_german_orig_07_10.wav,CISI UE DA SE IS ISION EGMENTS,ILL  ER RMENC,0.185352,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/25_stim504_german_orig_splits/25_stim504_german_orig_07_10/metamer_audio.wav
26_stim506_hindi_orig_splits,26_stim506_hindi_orig_01_04.wav, WIH ASERGINN ME THINGLINDN B F, MINTE T  ,0.206703,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/26_stim506_hindi_orig_splits/26_stim506_hindi_orig_01_04/metamer_audio.wav
26_stim506_hindi_orig_splits,26_stim506_hindi_orig_04_07.wav,IN WAN ANYPUN UP WITH YE DOBAT,MWINL  WINL  WITH OI TLE YO,0.177807,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/26_stim506_hindi_orig_splits/26_stim506_hindi_orig_04_07/metamer_audio.wav
26_stim506_hindi_orig_splits,26_stim506_hindi_orig_07_10.wav,A THEU WANT MINUTR ON O  THIN THE EGA,HE WON  SO WON  ,0.110339,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/26_stim506_hindi_orig_splits/26_stim506_hindi_orig_07_10/metamer_audio.wav
27_stim508_russian_orig_splits,27_stim508_russian_orig_01_04.wav,BHUIN NEUR WARSH WAS THOWHERE THEY WILL FINT,BA YOU WOR WAS TO I YE,0.164175,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/27_stim508_russian_orig_splits/27_stim508_russian_orig_01_04/metamer_audio.wav
27_stim508_russian_orig_splits,27_stim508_russian_orig_04_07.wav,WAI YOUR PODY WHAT SHE WEATS WASE, AN E P WI SHE BETS A,0.187490,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/27_stim508_russian_orig_splits/27_stim508_russian_orig_04_07/metamer_audio.wav
27_stim508_russian_orig_splits,27_stim508_russian_orig_07_10.wav,I NEED HIBOBRY NEEDS UP MY ,OU I NEE HERME LO,0.166375,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/27_stim508_russian_orig_splits/27_stim508_russian_orig_07_10/metamer_audio.wav
28_stim512_heart_beat_orig_splits,28_stim512_heart_beat_orig_01_04.wav,, AS I,0.045976,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/28_stim512_heart_beat_orig_splits/28_stim512_heart_beat_orig_01_04/metamer_audio.wav
28_stim512_heart_beat_orig_splits,28_stim512_heart_beat_orig_04_07.wav,,,0.043480,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/28_stim512_heart_beat_orig_splits/28_stim512_heart_beat_orig_04_07/metamer_audio.wav
28_stim512_heart_beat_orig_splits,28_stim512_heart_beat_orig_07_10.wav,, WIT E ,0.042637,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/28_stim512_heart_beat_orig_splits/28_stim512_heart_beat_orig_07_10/metamer_audio.wav
29_stim72_cello_orig_splits,29_stim72_cello_orig_01_04.wav,OU OU O KNO NOW,  ,0.106126,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/29_stim72_cello_orig_splits/29_stim72_cello_orig_01_04/metamer_audio.wav
29_stim72_cello_orig_splits,29_stim72_cello_orig_04_07.wav, KNOU KNOW,I,0.134916,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/29_stim72_cello_orig_splits/29_stim72_cello_orig_04_07/metamer_audio.wav
29_stim72_cello_orig_splits,29_stim72_cello_orig_07_10.wav, I TO THO OO, IN WO TH WO,0.157224,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/29_stim72_cello_orig_splits/29_stim72_cello_orig_07_10/metamer_audio.wav
30_stim78_chimes_in_the_wind_orig_splits,30_stim78_chimes_in_the_wind_orig_01_04.wav, HIT  T SI,A TO TO O,0.089442,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/30_stim78_chimes_in_the_wind_orig_splits/30_stim78_chimes_in_the_wind_orig_01_04/metamer_audio.wav
30_stim78_chimes_in_the_wind_orig_splits,30_stim78_chimes_in_the_wind_orig_04_07.wav,THO, I,0.155719,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/30_stim78_chimes_in_the_wind_orig_splits/30_stim78_chimes_in_the_wind_orig_04_07/metamer_audio.wav
