stim_folder,wav_file,pred_original,pred_metamer,match_distance,metamer_wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_01_04.wav,,,0.039287,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_01_04/metamer_audio.wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_04_07.wav,,,0.035920,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_04_07/metamer_audio.wav
0_stim102_crumpling_paper_orig_splits,0_stim102_crumpling_paper_orig_07_10.wav,,,0.037792,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/0_stim102_crumpling_paper_orig_splits/0_stim102_crumpling_paper_orig_07_10/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_01_04.wav, WHAWHA, ,0.191620,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_01_04/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_04_07.wav,THTH,,0.197603,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_04_07/metamer_audio.wav
1_stim11_baby_crying_orig_splits,1_stim11_baby_crying_orig_07_10.wav,, TO THAT ,0.199956,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/1_stim11_baby_crying_orig_splits/1_stim11_baby_crying_orig_07_10/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_01_04.wav,,,0.039711,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_01_04/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_04_07.wav,,,0.034915,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_04_07/metamer_audio.wav
2_stim150_finger_tapping_orig_splits,2_stim150_finger_tapping_orig_07_10.wav,,,0.035640,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/2_stim150_finger_tapping_orig_splits/2_stim150_finger_tapping_orig_07_10/metamer_audio.wav
3_stim211_keys_jingling_orig_splits,3_stim211_keys_jingling_orig_01_04.wav,,,0.045985,/orcd/home/002/aimeeyu/mms_project/model_metamers_pytorch/results/av_metamers_42_natural/3_stim211_keys_jingling_orig_splits/3_stim211_keys_jingling_orig_01_04/metamer_audio.wav
